Category,Description
Books,"International Business: Competing in the Global Marketplace About the Author Charles W.L. Hill, University of Washington Arun K., Indian Institute of Management, Lucknow"
Clothing & Accessories,Allen Solly Boys' Checkered Regular Fit Shirt Allen Solly Boys' Checkered Regular Fit Shirt
Household,"Trance Home Linen 100% Cotton 210 Tc Queen Double Fitted Bedsheet with 2 Pillow Covers (Dark Blue, 78 x 60 inches) Color Name:dark blue   Ease your daily chores by using Trance fitted bedsheet. The bedsheet has 10/12 inch skirt that will help you tuck in mattresses upto 8"" inches deep. It includes a queen bed sheet and two pillow covers crafted from pure cotton."
Electronics,Mivi UC3B Micro USB Cable - 3.2 Feet (1 Meter) - (Black) Size:Pack of 1                                                                                 |                            Colour:Black   USB connector: Certified and connector ensures not only the safety of the connected device but also reliable charging and high-speed data transmission.
Electronics,"Stealkart Wireless Bluetooth 4.1 Earphone with MIC for Hi-Fi Music and Calls, in-Ear Headset Designed for Sports, Gym, Travel and Driving, for iPhone, Android Smartphones, iPod,iPad and laptops Built-in DSP audio processing system, can be a very good eliminate Noise and echo, to ensure clear communication, and music./Bluetooth version:V4.0 + EDR. Can talk, listening to music/Small and light, stealth design./Battery type:50mA rechargeable lithium battery/2 in a row, to the telegraph, voice prompt operation"
Electronics,"Amscan 844869 Adult Bare Bone Skeleton Costume, Medium (6-8), Black Who said being an adult means you can't have fun? This Halloween is all about making memories and being the life of the party. Transform yourself into the character of your dreams with our Bare Bones Skeleton Halloween costume for women. The creative design and vibrant colors are guaranteed to get you noticed - best friends and family members will remember your costume for years to come. With quality materials and functional design you'll be able to spook the neighborhood feeling comfortable and at ease. Our Bare Bones Skeleton Halloween costume will make you so popular you'll have to turn off your phone to get away from themed party invitations and cosplay conventions. Whether you choose to save your costume for future events or pass it on to a friend, you'll always have the memories of you rocking this picture-perfect Halloween costume."
Household,"Uniquedealz Nylon Multi-Purpose Waterproof Foldable Travel Shoe Pouch (Multicolour, 420) * Use this as Socks, Cosmetic, footwear, towel, swim suit, undergarments, sunglasses and other Toiletries Storage high quality Sturdy and durable nylon polyester material, Waterproof Bag Pouch Organizer. * Non-Woven Shoe Bag. Can easily hold one pair of slippers and a pair of shoes. * Package Contain: 1 Piece Shoe Pouch. * Shoe Storage Travel Tote Bag, Portable Rack Foldable Organizer to organizer very easily in your luggage to make your life more convenient. * Meticulous stitching and beautiful outline, Nylon zipper and Plastic pulling-head, zipper design. * Breathable Mesh Design, Sturdy Handle: Convenient for carrying. * Stores and retains the actual shape of the shoe. Perfect for leisure trips, business trip, weekend trips, outdoor sport. * Features a special slot for slippers/flip flops. * Looks like brand new even after couple of washes. * Keeps the original form of your shoes. Does not take up too much space or weight. * No need keeping your shoes in untidy plastic bags with this travel show pouch. * Must have item for you to bring while you travel such as to the beach, pool or to change shoes after jog or gym. * EASY TO CLEAN: Absolutely washable and quick-drying. * The soft and light texture makes it easy to fit in any luggage bag."
Clothing & Accessories,"AlexVyan NY Special (Inside Fur) 1 Pair Unisex Woolen Beanie Cap for Men Women Girl Boy Warm Snow Proof Premium High Quality Soft Pair up with exclusive beanie caps this Autumn-Winter season. These machine knitted slouchy Beanie is Made from the highest quality anti allergic and softest material ever .This stylish cap is perfect for both men and women this fall and winter. Soft feel Textured Knit Beanie Hat makes every outfit complete. This stylish beanie has a lightweight knit pattern and attractive design that's perfect for most types of weather. Pair it with your favorite pair of skinnies and a simple jacket. The cozy acrylic beanie features a chunky-knit design that slouches for a lovely look that provides optimum warmth, comfort and look. Truly expandable material fits almost all the adults with greatest comfort and look. So get this for the great look and complete your wardrobe."
Household,Godrej NEH 05 1CK 20cm Zinc Alloy Door Handle Set with Lock Body and Cylinder Door thickness - 28mm to 40mm. Zinc alloy handle with satin finish. 48.5mm distance from edge of door to key hole. Key operation from both inside and outside. Comes with 2 mild steel keys.
Books,"Godrej Security Solutions Halo Digital Home Safe with Free Demo (Ivory) Product Description A new-age safe, Halo is class apart and comes in ivory colour. Its size makes it the most ideal safe for homes. The safe offers advanced protection with motorised shooting bolts and an advanced locking system that can be opened only with a secret password. A mechanical override option is also available in case the password is forgotten. In addition, the safe brings the user features such as an audit trail facility and interior carpet. 				    	 					 From the Manufacturer        Locking Mechanism View larger Halo can be unlocked with a 3-6 Digit secret user password and a Master password. Incase, both the user and master password are forgotten, the safe can be unlocked with a master key.       Security Features View larger Two motorised shooting bolts (Solid steel) provide ease of operation The smart lock feature freezes the LED display panel if the wrong password is entered 4 times consecutively (Configurable progressive lockout), preventing any unauthorised access  The safe has a smart memory that prevents password erasure when the battery is low/removed.          Additional Features View larger The interior carpet within the safe provides a smooth surface on which valuables can be placed Halo’s attractive aesthetic design makes it a perfect blend with the interiors of your home The safe is also equipped with a sleek LED display panel  Halo is equipped with a low battery indicator 100 audit log trails can be viewed on the safe (Shows opening records of date, time along with method used for unlocking the safe) Hot Key Functionality - Password entry can be hidden/unhidden with unique two digit codes( 0* for hiding the code & 9* for displaying the code) that are to be entered before the password is keyed in      Keep Your Valuables Safe view larger Halo is ideal for storing valuables such as cash, jewellery, passports, etc.         Safe Can Be Grouted or Anchored view larger       Applications  view larger    Halo can be fit into Wardrobe drawers, kitchen cabinets, sofa-cum-bed drawers or in any place that is best suited to the user."
Household,"Callas Height Adjustable Kitchen Cookware Organizer Pan Rack Holder, Black CA. 17"
Household,"Gala e-Quick Spin Mop with Easy Wheels and Bucket with 2 Refills Gala e-Quick Spin Mop  A great complement to your home cleaning tools - including a bucket with Super Spin wringer and two 360 spin mops, this setoffers practicality and superior cleaning performance in just one product. Use it in any type of floor (tiles, wooden, flooring, slate, linoleum, etc) and reach even the most difficult spots thanks to the functional handle and 360 degrees mop. Product details Bucket with built-in wringer for a comfortable cleaning process Sturdy stainless steel handle with quick lock Built-in Easy Wheels and puller handle for uncomplicated transportation Gala Spin Mop Refill compatible with this set Microfiber mop that easily removes dirt and particles while efficiently absorbing liquids Gala is part of Freudenberg Home and Cleaning Solutions Freudenberg Home and Cleaning Solutions is a Freudenberg company and a world leader in cleaning tools with Vileda being its most popular brand. FHCS is present is all over the world with successful brands for over 60 years now. In India, the com-pany is present in all leading modern trade outlets and also distributed in the general trade/grocery stores via a network of over 250 distribution partners."
Clothing & Accessories,"Shararat Women's Net Babydoll with G-String(SN0199, Red, Free Size) Babydoll nightwear dresses creates a beautiful and attractive look or an innocent but naughty look that cannot just add an ageless sex appeal but also completely brings your style to another angle. Just have a glance at this mesmerizing sheer floral lace baby doll outfit and you will fall for it the very next moment. The seductive outfit has perfect design to support the bust perfectly. If tempting transparent dresses lure you, this product is your ultimate pick. It comes with a complimenting thong."
Household,"Presto 06852 16-Inch Electric Skillet with Glass Cover Description - 16"" Electric Skillet. Fully immersible and dishwasher safe with the heat control removed. Doubles as a handy buffet server when entertaining."
Household,"Bluewud Rico Dressing Table with Shelves, Mirror and Hanging Hooks (Wenge) Color:Wenge   Bluewud designs, manufactures and markets range of innovative and contemporary furniture and home decor products. Our designs complement and connect with our consumers' lifestyle, imagination and aspirations. Our manufacturing facility in India is located in Noida, Delhi NCR which is completely equipped with state of the art machinery."
Clothing & Accessories,"Littly Front Open Kids Thermal Top & Pyjama Set for Baby Boys & Baby Girls, Pack of 2 (1 White, 1 Dark Blue/Brown Color) Stock up your little ones wardrobe with Littly Baby Thermal Set to give your kid an extra warm layer this winter. This set of Littly full sleeve thermal vest and legging are made from soft fabric which will keep your little one warm and cozy. The high quality fabric provides extra comfort and the front open thermal vest ensures fuss free dressing. Littly Baby Thermal Set comes in multiple colors and multiple sizes. Note: Actual product may slightly vary in terms of color /design and will be shipped based on availability."
Household,"AmazonBasics Room Darkening Blackout Curtain Set of 2 with Tie Backs - (7 Feet - Door) 52"" x 84"", Navy Color Name:Navy                                                                                 |                            Size:7ft   Blackout curtain blocks out sunlight and harmful UV rays, reduces outside noise, and ensures total privacy;Creates energy-saving insulating barrier against heat and cold, keeping room cooler in the summer and warmer in the winter;2 panels made of innovative triple-weave fabric; no stiff liner; elegantly frames windows with a sophisticated drape;Rod pocket fits any standard or decorative rod; includes 2 Velcro ties for pulling back the curtains;Each panel measures 52 x 84 inches; machine washable"
Household,"Pure Source India Highly Fragrance Potpourri Loose 250 Gram Pack (Rose) BENEFITS PROMOTES HEALTHY BREATHING:-.ROSE POTPOURRI: Pot Potpourri has been used since ancient times to scent a room. Nowadays it's used ornament ally and to scent a room. You can use a variety of dried flowers and fruits, but it's beautiful to concentrate on just one flower such as these pretty rosebuds.INGREDIENTS: Rose Essential Oil, Natural Herbs (dried leaves and flower petals), Incense Powder HOW TO USE:Empty the contents onto a tray or a bowl, and place it anywhere in your house (dry place) HOW TO REFRESH YOUR POUCH: Refresh the Potpourri after every 15 days with Same Aroma Oil and place at the same place again."
Household,"SYGA Set of 2 DIY Cake Slicer, Stratification Auxiliary, Bread Slice, Toast Cut, 5 Layers Leveler Slicer, Kitchen Fixator Tool(Green) Color Name:Green   Material:Plastic and stainless spring  Single size: 2.3 "" * 2.3 ""* 1.2 ""for each one; With box Size: 3.9"" * 2.6""* 1.2 ""  How to use:  1.Grip both ends of the serrated bread/cake knife by each of the units at the same level/layer.  2.Place the cake/bread and units on an even flat smooth surface.  3.Take hold of each unit on both sides and smoothly cut through the cake in a back-and-forth motion (do it nice & slow)  4.This should result in a uniform even slice/layer.  5.The units can be easily cleaned in warm soapy water/rinse in cold water and air dry. Product Details 1. Our anti pollution face mask is made of breathable cotton material with replacement filter-activated carbon filter, which intend to give you max comfort. 2. Unisex, One size fits most, ear clip can be adjusted freely. 3. Anti dust cotton face mask with nose bridge wire can effectively prevent dust and ash which can give you max health care. 4. Reasonable thickness also provides an extra layer of warmth and face protection in cold weather. 5.Our mouth masks are reusable, washable and free of latex."
Books,"A SCHOOL GEOMETRY About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
Clothing & Accessories,"Mayra Women's Denim Shirt (1705T11064) Trendy and appealing, this denim shirt from mayra's exclusive collection will surely impress fashionable women. This shirt will surely add unique charm to your casual as well as party look. Made from cotton, this top will help you stay relaxed all day long."
Household,"OXO Good Grips Easy-Release Strawberry Huller and Tomato Corer 11111900 Features: -Press button to release leaves and hull. -No wasted fruit. Product Type: -Slicer and cutter. Finish: -Black. Base Material: -Stainless steel. Handle Material: -Plastic. Operation: -Manual. Food Compatibility: -Fruit. Item Type: -Handheld. Soft Grip Handle: -Yes. Dishwasher Safe: -Yes. Dimensions: Overall Height - Top to Bottom: -8.75"". Overall Width - Side to Side: -4.25"". Overall Depth - Front to Back: -1.25"". Overall Product Weight: -0.15 lbs."
Books,"Investment Adviser (Level 2) (X-B) (Reprint 2018 Edition) This workbook has been developed to assist candidates in preparing for the National Institute of Securities Markets (NISM) Certification Examination for Depository Operations. NISM-Series-VI: Depository Operations Certification Examination seeks to create a common minimum knowledge benchmark for associated persons engaged or employed by a registered depository participant in (a) dealing or interacting with clients; (b) dealing with securities of clients; (c) handling redressal of investor grievances; (d) internal control or risk management; (e) activities having a bearing on operational risk; (f) maintenance of books and records pertaining to the above activities. The book covers the various functions of depositories and their depository participants, the regulatory framework under which the depository system functions in India."
Electronics,"Dr. Morepen BG-03 Blood Glucose Test Strips, 50 Strips (Black/White)(Only Strips, No Glucometer) Dr. Morepen state of art manufacturing facility in the picturesque environs of baddi comprises a scientifically integrated complex of 10 plants, each with a specific product profile. The company's extensive facilities and factories are manned by a dedicated team of professionals who ensure stringent quality standards."
Books,"Hunting Hobby HH42 Fishing Barrel Swivel Barrel swivel and snaps mix black coated piece - 20 free swivel wire - 3 with high tensile strength use for soft bait, hard bait, lead head hook, sequins etc. flexible rotation, not easy to wind around the fishing line unique design to reduce water resistance and improve the sensitivity."
Household,"Docoss -Pemium Classic Glossy Black Steel 6 Pin Cloth Hanger Wall Door Hooks Rail for Hanging Clothes, Towel Hook Set (Black, Pack of 2)"
Household,"Healifty Inflatable Ring Cushion Donut Hemorrhoid Pillow Medical Pillow Bed Sores for Wheelchairs DescriptionThe contoured donut shape is engineered to reduce coccyx pressure, as well as relieve stress on the tailbone, hip bones, and legs and while you are sitting. It can be used at home, on the road while driving a car or truck, and an office.Feature- Color: As shown.- Material: PVC.- Size: 35x35x8cm.Package Including1 x Cushion1 x Air Pump"
Household,"Panasonic Emergency Round Base B22 7-Watt LED Bulb (White) With its centuries of experience in designing life-enhancing lighting solutions, Panasonic brings you the world class range od LED lighting products. They are a symbol of all-round, in depth approach that assures you impeccable quality, unmatched style and carefully crafted lighting for all your needs."
Books,"It: A Novel Review “A landmark in American literature.” (Chicago Sun-Times)“It will overwhelm you…Characters so real you feel you are reading about yourself…scenes to be read in a well-lit room only.” (Los Angeles Times)“The indisputable King of Horror.” (Time Magazine)“A mesmerizing odyssey of terror…King writes like one possessed, never cheats the reader, always gives full measure…He is brilliant…dark and sinister.” (The Washington Post Book World)“Vintage King…a magnum opus of terror…just a glance at the first few pages, and you can’t put this novel aside.” (St. Louis Post-Dispatch)“A great scary book…a nightmare roller-coaster…packed with more chills than a Frigidaire… ‘It’ turns out to be the monster-dread in us all, the one that refuses to go away.” (San Francisco Chronicle)“Epic…gargantuan…breathlessly accelerating suspense… King is our great storyteller…I imagine him as a possessed figure rocking over a smoking word processor, hunting for a beat his sentences can dance to, pounding the shocks and scares like a rock organist laying down the power chords.” (Los Angeles Herald-Examiner)“A ghoul’s delight…a good old-fashioned chill and shiver fest…as creepy as the finest of that genre.” (Kansas City Star)“ King’s most ambitious project…reads as if written in a white heat!” (San Jose Mercury News)“IT exhibits the potato chip syndrome – quite simply, you can’t read just one page and stop…It is in this novel that King comes out of the closet, a closet jammed and crowded with his own monsters.” (Houston Chronicle) 				    	 					 About the Author Stephen King is the author of more than fifty books, all of them worldwide bestsellers. His recent work includes Elevation, The Outsider, Sleeping Beauties (cowritten with his son Owen King), the Bill Hodges trilogy End of Watch, Finders Keepers, and Mr. Mercedes (an Edgar Award winner for Best Novel and an AT&T Audience Network original television series). His novel 11/22/63 was named a top ten book of 2011 by The New York Times Book Review and won the Los Angeles Times Book Prize for Mystery/Thriller. His epic works The Dark Tower and It are the basis for major motion pictures, with It now the highest grossing horror film of all time. He is the recipient of the 2018 PEN America Literary Service Award, the 2014 National Medal of Arts, and the 2003 National Book Foundation Medal for Distinguished Contribution to American Letters. He lives in Bangor, Maine, with his wife, novelist Tabitha King."
Books,RRB (Railway Recruitment Board) 2019 - Junior Engineer CBT -I & II - Civil Engineering 
Household,"Supreme Folding Portable Outdoor Barbeque Charcoal BBQ Grill Oven Black Carbon Steel, Black Material: stainless steel Foldable legs 1 x mesh grill 1 x Charcoal net 1 x Carry handle equipped with blow slots for extra heat producing Color: as shown in the photos Measurement: 35cmx27cmx19.5cm Brand new Comes in the box , great gift !"
Clothing & Accessories,Kuchipoo Unisex Regular Fit Thermal Top and Pyjama Set (Pack of 2)
Household,"Onlineshoppee Wrought Iron Hierro Tissue Roll Dispenser for Kitchen and Toilet(Height - 56cm Diameter - 13cm, Black) Color Name:black3   Bring this unique & authentic napkin holder to get a jaw dropping look by your guests. The Flat iron circular base of this napkin holder acts as a support & storage of the holding stand. This Napkin holder is made of wrought iron This exquisite holder is embellished designed to perfection which elevates the beauty of the area wherever placed.Tissue Roll Is not Included."
Clothing & Accessories,"Bold N Elegant Attractive White n Red Mickey Mouse Cute Cartoon Tshirt Pyjama Set Little Baby Boy Girl Clothing Two Piece Full Length Tee n Pant for Kids Give your little master an ultra-cool look in this red and white full-length set from Bold N Elegant. Made from fine cotton for a soft feel, this set features a top and bottom with cool printed Mickey Mouse graphics that will appeal to your young one. This t-shirt pant twin set will be a perfect option for any casual or special occasion like birthday or wedding party dress."
Books,"CBSE Biology Chapterwise Solved Papers Class 12th About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years."
Household,"Hokipo Handheld Carpet Roller Cleaning Brush With Dust Crumb Collector For Carpets, Car Seats, Table Linen, Sofas (Random Colors) Carpet Roller Brush is the best way to clean carpets without using vacuum cleaners. It is a multi-purpose roller sweeping device which is simple to use and incredibly effective in cleaning up small messes. Just sweep the roller brush back and forth over the surface you want to clean. Its 3 rollers with nylon bristles will pick up dust, dirt and small crumbs and deposit inside the brush. Once finished, simply push the button to open the container and empty the contents into the bin. The brush is easy to hold in your hands and sweep over surfaces to clean. Use the brush on carpets, rugs, mats, tablecloths, desks, car seats, sofas, chairs, table linen etc."
Clothing & Accessories,MIDAAS Women's Cotton Short Nighty MIDAAS women's gliter print nighty is made of cotton material. It provides regular and comfort fit.
Clothing & Accessories,Gini & Jony Boys' Shirt
Books,22 years AIIMS Chapter-wise Solved Papers (1997-2018) 12th Edition 
Clothing & Accessories,"Littly Front Open Kids Thermal Top & Pyjama Set for Baby Boys & Baby Girls, Pack of 2 (1 White, 1 Dark Blue/Brown Color) Stock up your little ones wardrobe with Littly Baby Thermal Set to give your kid an extra warm layer this winter. This set of Littly full sleeve thermal vest and legging are made from soft fabric which will keep your little one warm and cozy. The high quality fabric provides extra comfort and the front open thermal vest ensures fuss free dressing. Littly Baby Thermal Set comes in multiple colors and multiple sizes. Note: Actual product may slightly vary in terms of color /design and will be shipped based on availability."
Electronics,"Boat Rockerz 400 On-Ear Bluetooth Headphones (Carbon Black) Colour:Carbon Black   Now just stop worrying about wires hanging from here and there. Wired is passé. Connect with any Bluetooth device, connect and play. Dead batteries can kill your vibe. boAt Rockerz is designed to play for up to 8 hours. It has a high definition sound. Don't just be loud, be loud and clear. We guarantee you have not heard such powerful bass and vocal clarity from a wireless headphone. The boAt super bass Rockerz 400 wireless headphones will make your listening experience personal and for real. Plug it in and plug into nirvana. Contact_us on: [ 02242102403 ] List of service centers - 131, Guru Gobind Singh Industrial Estate, Next to Jay coach, Off W.E.Highway, Goregaon (E), Mumbai - 400 063. India. Technical Specification: • Super Bass • Sound: HD Clarity with Super Bass • Drivers: 40 mm • Type: On Ear • Connectivity: Bluetooth / Wireless • Compatibility : All Mobiles , Laptop And Tablets • Microphone: Noise Cancelling • Operation range: 10 meters • Playing time: Up to 8 hours • Standby time: About 100 hours • Charge time: Nominal charging time: 2 hours • Battery type: Rechargeable 250mAh Li-polymer battery • Functions: multiple function of on/off, play/pause, Call receive/reject, Volume Adjustment and Music Track Change Previous and Next • LED indicator status: Blue LED for power and pairing, Red LED for charging • Frequency range: 20Hz- 20kHz • Controls: Volume/USB Charging/Aux Cable Controls on Ear cup • Sensitivity at 1KHz : 110 db • Signal Noise Ratio: ≥75dB • Dimensions:70*180*175mm • Impedance: 32 Ohms (±15%Ω) • Speaker sensitivity: 110±3dB （at：1000Hz 1mW） • MIC. sensitivity ）: -40±2dB （at：1000Hz 2.2KΩ 3V） • Distortion: ≤1% • Extra 3.5mm port: yes (Cable Supplied) • Battery Charging: Micro USB Charging • Rated power：10mW • Net Weight: 110g • Warrantee: 1 year Manufacturer Warrantee • Delivery Includes: Wireless Headphone, Manual , Audio Cable, Charging Cable Does the product have noise cancellation?  No, but it has noise isolation. It is like noise cancellation’s younger brother. You will still be able to hear that guy shouting at his phone, only a little muted. You can find out more about it here. What Devices is te product compatible with? The Rockerz 400 is compatible with all kinds of Android, iOS and Windows Bluetooth-enabled devices. It’s like that one guy in your group who can mingle with everyone. Does the product come with mic/remote? Yes, it does. Now you can easily control your music and talk for long on calls."
Household,"celebrationgift 7-inch Silicone Square Durable Flexible, Non Slip Heat Resistant Pot Holder/Hot Pads (Assorted) - Set of 4 Non Slip heat Resistant kitchen cooking Hot pot cover holder Pads -Silicone rubber Pot lid Holders- silicone Trivets mat"
Books,"First Spanish Reader (Dover Dual Language Spanish) Language Notes Text: English, Spanish"
Household,"Bosch 12 Place Settings Dishwasher (SMS66GI01I, Silver Inox) Style name:SMS66GI01I   6 programs, 4 options, intensive kadhai 70 deg prog for heavy soiled utensils, half load programme and foldable racks. Eco silence drive: top shower, aqua-sensor and load sensor. Inner tub: polinox, dosage assist basket and glass care system."
Electronics,"Cp Plus Cp-Vac-D24L2 2.4 Mp 20M Ir Dome Camera (White) CCTV cameras are commonly used in surveillance systems inside of homes, casinos, retail stores, and restaurants. This camera always saves you a lot of cost while effective surveillance effects can be achieved. Here we'd like to recommend this great simulation CCTV camera to all the customers seeking for a reliable CCTV camera. It is featured with high simulation appearance and cheap cost. To prevent larceny and theft, you can apply it to the shop, supermarket, hotel, parking lot, library, office, plant, community, storage and so on. Perfect security effectiveness can be available when it's used with several real cameras! Bid it, you cannot get a better one at this price."
Electronics,PowerPak Mono-x10 4.8ft Monopod Three Leg self Standing 360 Degree Rotatable with Head for Nikon Canon DSLR Panasonic Video Camera Upto 2.5KG
Books,"The Algebra of Infinite Justice About the Author Arundhati Roy is the author of the God of Small Things, which won the Booker Prize in 1997 and was a bestseller in more than two dozen countries worldwide. Through her numerous works of non-fiction, Roy has given us an insight into the underbelly of the world’s largest democracy in Listening to Grasshoppers (2009), has examined the nature of India’s progress and development in Broken Republic (2011) and has introduced readers to Maoist guerrilla rebels in Walking with the Comrades (2011). Roy is also a screenwriter and a trained architect. Her second novel, the Ministry of Utmost Happiness, will be published worldwide in June 2017. She lives in New Delhi."
Books,"I Am Divine. So Are You: How Buddhism, Jainism, Sikhism and Hinduism Affirm the Dignity of Queer Identities and Sexualities About the Author Devdutt Pattanaik writes, illustrates and lectures on the relevance of mythology in modern times. He has written more than thirty books and is a public speaker, leadership coach and management theorist. He has written the introductory essay in this book and has been a consultant to the entire project. Jerry Johnson is the editor of this book and has written the chapters on Hinduism and Buddhism and edited the chapters on Jainism and Sikhism."
Books,"Deep Work: Rules for Focused Success in a Distracted World Review As a presence on the page, Newport is exceptional in the realm of self-help authorsDEEP WORK accomplishes two considerable tasks: One is putting out a wealth of concrete practices for the ambitious, without relying on gauzy clichés. The second is that Mr. Newport resists the corporate groupthink of constant connectivity without seeming like a curmudgeonAs automation and outsourcing reshape the workplace, what new skill do we need? The ability to do deep work. Cal Newport's exciting new book is an introduction and guide to the kind of intense concentration in a distraction-free environment that results in fast, powerful learning and performance. Think of it as calisthenics for your mind-and start your exercise program today.DEEP WORK makes a compelling case for cultivating intense focus, and offers immediately actionable steps for infusing more of it into our lives.Cal Newport is a clear voice in a sea of noise, bringing science and passion in equal measure. We don't need more clicks, more cats, and more emojis. We need brave work, work that happens when we refuse to avert our eyes.Cal Newport offers the most well-informed and astute collection of practical advice I have seen for reclaiming one's mental powers.Just when you think you already know this stuff, DEEP WORK hits you with surprisingly unique and useful insights. Rule #3 alone, with its discussion of the 'Any-Benefit' mind-set, is worth the price of this book.Here lies a playbook for professionals of all stripes to achieve true differentiation in a crowded talent marketplace. Cal Newport's latest shows why he is one of the most provocative thinkers on the future of work.In this strong self-help book, Newport declares that the habits of modern professionals-checking email at all hours, rushing from meeting to meeting, and valuing multitasking above all else-only stand in the way of truly valuable work[A] worthwhile distraction. 				    	 					 About the Author Cal Newport holds the position of assistant Computer Science professor at Georgetown University and his area of specialization is 'distributed algorithms'. He graduated from Dartmouth and obtained a PH.D. from MIT. Apart from studying technological development, he has authored books describing the impact of recent technological developments on our daily lives and work. Deep Work turned out to be a Wall Street bestseller immediately and garnered positive reviews from all major newspapers. His first book, So Good They Can't Ignore You, talks about the common myth of 'following your passion' and how it can actually prove to be detrimental. The controversial self help books penned by him are realistic and appeal to practical readers across the globe."
Clothing & Accessories,Allen Solly Boys' Plain Regular Fit Shirt Allen Solly Boys' Plain Regular Fit Shirt
Household,Artesia Handcrafted 2 Panel Brown Wooden Room Partition/Divider
Books,"The Quick and Easy Way to Effective Speaking (DELUXE EDITION) About the Author Dale Carnegie (1888–1955) was an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking and interpersonal skills.He was born in an impoverished family in Maryville, Missouri. Carnegie harbored a strong love and passion for public speaking from a very early age and was very proactive in debate in high school. He went to the Warrensburg State Teachers College and later onwards became a salesman for Armour and Company in Nebraska. He also moved to New York in the pursuit of a career in acting and gave classes in public speaking at the Young Men's Christian Association.During the early 1930's, he was renowned and very famous for his books and a radio program. When 'How to Win Friends and Influence People' was published in 1930. It became an instant success and subsequently became one of the biggest bestsellers of all time. It sold more than 10 million copies in many different languages. He also began work as a newspaper columnist and formed the Dave Carnegie Institute for Effective Speaking and Human Relations, with several branches globally.Carnegie loved teaching others to climb the pillars of success. His valuable and tested advice was used in many domains and has been the inspiration of many famous people's success. One of the core ideas in his books is that it is possible to change other people's behavior by changing one’s reaction to them. The most famous and cited maxims in the book are ""Believe that you will succeed, and you will,"" and ""Learn to love, respect and enjoy other people."""
Household,"Satyam Kraft Plastic Orchids Artificial Flower for Home Decor Pack of 5 (Random Colour) Color:5 Pcs Orchid Lines   Satyam Kraft Orchids are classic. Individually, an orchid flower is tiny and delicate, but a cluster of orchids blooming together is a treat for sore eyes. Liven your home's ambience with this bunch of artificial orchid flowers. They are as tall as 26 inch long . The best part is, you don't have to maintain them. These flowers bloom and brighten your home throughout the year."
Books,Kiran’s SSC CGL Tier II Statistics Paper III Practice Work Book - 2016 
Household,"Pigeon Home Baby Food Maker Product Description Pigeon promotes baby’s healthy growth and the happiness of mother and family through advanced research and development innovation. For over a half-century since our establishment, Pigeon has worked tirelessly to develop beneficial maternity and baby care products for easy, enjoyable use. Our expertise and dedication to progress are always at your service. 				    	 					 From the Manufacturer Make Wholesome Nutritious Baby Food As a mother you'll simply not want to compromise with your baby's diet. You would want your little one to be fed with the most nutritious and wholesome baby food. In this regard, it is essential to mention that baby food (solids, semi-solids or liquids) has to be appropriately prepared so that your little one can consume and digest it. Pigeon, a world renowned producer of baby care products, has come up with a resourceful home baby food maker that can assist you in managing all the processes associated with preparation of baby food. The Pigeon Baby Food Maker is immensely helpful when you need to grind, grate, strain or squeeze any food item for your kid.Ergonomic Intelligent Design for Maximum Utility The Pigeon Food Maker comes with a handle that can be set up with a mortar with edges tapering downwards so that the freshly ground food doesn't get stuck. The squeezing unit allows for thorough wringing of all juicy fruits and the juice is collected in a bowl as it finely passes through a strainer that has a robust stainless steel mesh. A grating plate allows for fast shredding of food into fine particles through rubbing or scraping. This handy Baby Food Maker Pigeon contains four basic units - soup bowl, cereal bowl, baby spoon and feeding spoon made from non-toxic polypropylene. The units are microwave safe as they can withstand temperatures ranging from 20 to 120 degrees Centigrade. Comes with four extensions that helps grate, squeeze, grind and strain Contains feeding bowl, spoons, soup bowl Ability to withstand high temperature from 20 to 120 degree Celsius Made of non-toxic polypropylene"
